title,description,start_datetime,end_datetime,venue_name,venue_suburb,category,vibe,price_range,image_url,source_url,is_featured,is_curated_pick
24th Anniversary Celebration@ZCK,"Celebrate 24 years @ ZCK—culture, connection & community. Join us for performances, fellowship, and a shared dinner in unity & harmony",2026-05-30 17:30:00,2026-05-30 20:30:00,ZEE CHENG KHOR COMMUNITY CENTRE,Clayton South,Community & Culture,groups,0.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183303181%2F167519803212%2F1%2Foriginal.20260429-063739?auto=format%2Ccompress&q=75&sharp=10&s=476ad756770f1e0509d44de6fa2432a0,https://www.eventbrite.com.au/e/24th-anniversary-celebrationzck-tickets-1987984968556,false,false
Supper Club - Melbourne,Join Club Sup at Elio's Place in the CBD for at supper to make new friends and connections.,2026-05-26 18:30:00,2026-05-26 21:30:00,Elio’s Place,Melbourne,Food & Drink,groups,120.89 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F795571919%2F2160031684983%2F1%2Foriginal.20240624-233253?auto=format%2Ccompress&q=75&sharp=10&s=f3ff64c95de47fb26afc120a87352cc0,https://www.eventbrite.com.au/e/supper-club-melbourne-tickets-1986287457254,false,false
The Blueprint: Screening and Live Panel on Youth Crime and Prevention,Join us for The Blueprint by 16 Yards - a documentary screening and live Q&A exploring youth crime through lived experience.,2026-05-20 17:30:00,2026-05-20 19:30:00,"Neighbourhood Justice Centre, Wellington Street, Collingwood VIC, Australia",Collingwood,"Film, Media & Entertainment",free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182624102%2F1899982564973%2F1%2Foriginal.20260420-234106?auto=format%2Ccompress&q=75&sharp=10&s=c26defd37e3f29bb004e5805225ea983,https://www.eventbrite.com/e/the-blueprint-screening-and-live-panel-on-youth-crime-and-prevention-tickets-1987870084936,false,false
Creative Chaos,An interactive exhibition at our newly designed studio space in Brunswick.,2026-05-20 18:00:00,2026-05-20 21:00:00,7/14 Tripovich St,Brunswick,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183318983%2F180352343571%2F1%2Foriginal.20260429-110042?auto=format%2Ccompress&q=75&sharp=10&s=b0687d452e56be7fdae8be30ab6849cc,https://www.eventbrite.com.au/e/creative-chaos-tickets-1984847213446,false,false
Boat Trailer Reversing Clinics - Altona,Learn how to reverse your boat trailer like a pro at our Boat Trailer Reversing Clinics – don't miss out!,2026-06-21 09:30:00,2026-06-21 16:30:00,Altona Boat Ramp,Seaholme,"Auto, Boat & Air",free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178178029%2F220921162248%2F1%2Foriginal.20260223-065002?auto=format%2Ccompress&q=75&sharp=10&s=e91749a312bc1b34f3312104dd8f871c,https://www.eventbrite.com.au/e/boat-trailer-reversing-clinics-altona-tickets-1983331483858,false,false
Wild Faaji: Moments [Melbourne],"Moments are intimate spaces where music, memory, and people meet. Songs you know. Voices you feel. A night that stays with you.",2026-05-23 22:00:00,2026-05-24 03:00:00,Bourke Street Courtyard,Melbourne,Music,high-energy,22.03 AUD - 35.02 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179914603%2F822558573823%2F1%2Foriginal.20260316-063751?auto=format%2Ccompress&q=75&sharp=10&s=37a3c2ea2c865b3064431774315ba73b,https://www.eventbrite.com.au/e/wild-faaji-moments-melbourne-tickets-1983916969060,false,false
"Darebin Chess Club, Winter 2026 Tournament (Allegro)","Chess Allegro tournament(ACF-rated 7-round swiss system), in-person at the Preston Shire Hall, 286 Gower Street PRESTON, VIC",2026-05-24 13:00:00,2026-05-24 17:00:00,Shire Hall Preston,Preston,Hobbies & Special Interest,,20.00 AUD - 25.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181487496%2F307100833497%2F1%2Foriginal.20260406-042912?auto=format%2Ccompress&q=75&sharp=10&s=44323d580f6cdce02d0d9aff86448864,https://www.eventbrite.com.au/e/darebin-chess-club-winter-2026-tournament-allegro-tickets-1986785823882,false,false
Libraries After Dark: Filipino Papercraft,Learn the art of Filipino Papercraft at Sunshine Library Audience: Adults,2026-05-21 18:30:00,2026-05-21 19:30:00,Brimbank Libraries: Sunshine Library,Sunshine,Hobbies & Special Interest,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178361399%2F1201188157023%2F1%2Foriginal.20260224-232248?auto=format%2Ccompress&q=75&sharp=10&s=daa80de9fa056be13e4c4633c4fec4e3,https://www.eventbrite.com.au/e/libraries-after-dark-filipino-papercraft-tickets-1983914286035,false,false
PMI Melbourne Chapter AGM & May Monthly Hybrid Event,"Why the Most Capable Project Managers Stay Invisible, And What Changes That in the AI Era",2026-05-27 17:00:00,2026-05-27 19:30:00,Melbourne Business School,Carlton,Business & Professional,groups,0.00 AUD - 25.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182735214%2F196539100230%2F1%2Foriginal.20260422-002711?auto=format%2Ccompress&q=75&sharp=10&s=3421914d767a7a6cb95a7f178cb62e69,https://www.eventbrite.com.au/e/pmi-melbourne-chapter-agm-may-monthly-hybrid-event-tickets-1987967583557,false,false
Radio Monash Mayhem,Come on down to support the best of Melbourne’s local hardcore scene!,2026-05-23 13:00:00,2026-05-23 16:30:00,Banquet Room,Monash University,Music,high-energy,10.00 AUD - 15.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182932537%2F2031962351423%2F1%2Foriginal.20260424-022729?auto=format%2Ccompress&q=75&sharp=10&s=e2e1fe5fe4c5a3d620c45a96af73d31b,https://www.eventbrite.com.au/e/radio-monash-mayhem-tickets-1987875049786,false,false
Indian Diaspora Networking with Australian Businesses 27May26,Connect with Australian Businesses Seeking Trusted India Market Partners,2026-05-27 16:00:00,2026-05-27 18:45:00,Pullman Melbourne City Centre - Eva's Restaurant & Bar,Melbourne,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181840094%2F410881961467%2F1%2Foriginal.20260410-021646?auto=format%2Ccompress&q=75&sharp=10&s=12189a52b240afe16ba6d970a48dee57,https://www.eventbrite.com.au/e/indian-diaspora-networking-with-australian-businesses-27may26-tickets-1986184142236,false,false
MCW High Stakes 2026,The final stop on the road to the Ballroom Brawl! The stakes will be raised!,2026-05-23 19:00:00,2026-05-23 21:30:00,Thornbury Theatre,Thornbury,Performing & Visual Arts,low-key,29.71 AUD - 89.55 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183070584%2F354148735489%2F1%2Foriginal.20260426-172220?auto=format%2Ccompress&q=75&sharp=10&s=235325859d881c5b8069af5892e55a10,https://www.eventbrite.com.au/e/mcw-high-stakes-2026-tickets-1986168611784,false,false
Will Writing Info Session at St Albans Library,"Need a will, but don't where to begin? Get all the info with an accredited Family Law Specialist. Audience: Adults",2026-05-21 11:00:00,2026-05-21 12:00:00,Brimbank Libraries: St Albans Library,Saint Albans,Hobbies & Special Interest,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F917909533%2F1201188157023%2F1%2Foriginal.20241216-015320?auto=format%2Ccompress&q=75&sharp=10&s=164ca70956e778a145df8f08b3f169d4,https://www.eventbrite.com.au/e/will-writing-info-session-at-st-albans-library-tickets-1984591719256,false,false
My Aged Care and Home Care with Services Australia,Join an information session presented by Services Australia with an opportunity to ask questions about My Aged Care and Home Care.,2026-05-20 11:00:00,2026-05-20 12:00:00,Ashburton Library,Ashburton,Health & Wellness,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180621696%2F223549072749%2F1%2Foriginal.20260325-003630?auto=format%2Ccompress&q=75&sharp=10&s=2fdc3be59e8636597e4e5bc8a3c67903,https://www.eventbrite.com.au/e/my-aged-care-and-home-care-with-services-australia-tickets-1985879301449,false,false
Designing Quantum Futures,Join us for a workshop at the Victorian Pride Centre.,2026-05-20 14:00:00,2026-05-20 16:30:00,Victorian Pride Centre,St Kilda,Family & Education,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178578447%2F252273369117%2F1%2Foriginal.20260227-021438?auto=format%2Ccompress&q=75&sharp=10&s=b70005f9c5c6ea74eee3dfa87e8064c6,https://www.eventbrite.com.au/e/designing-quantum-futures-tickets-1983838606676,false,false
Object Intimacies: Sensing shifts,"Join Dr Karissa Taylor and Dr Myf Doughty for a workshop at the Victorian Pride Centre, presented by WonderLab.",2026-05-20 10:00:00,2026-05-20 13:00:00,Victorian Pride Centre,St Kilda,Family & Education,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178578382%2F252273369117%2F1%2Foriginal.20260227-021325?auto=format%2Ccompress&q=75&sharp=10&s=93410c98f30117cabb1b2b1e2dfeea76,https://www.eventbrite.com.au/e/object-intimacies-sensing-shifts-tickets-1983838547499,false,false
Bass Botanica #7 - Melbourne,Bass Botanica 7: Afrohouse & UKG at The Valiant Bar,2026-05-23 22:00:00,2026-05-23 22:30:00,The Valiant Cocktail Bar,Melbourne,Music,high-energy,27.25 AUD - 49.99 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182655371%2F235888696678%2F1%2Foriginal.20260421-101922?auto=format%2Ccompress&q=75&sharp=10&s=f1854033ca5f23384f7d4e44a789a731,https://www.eventbrite.com.au/e/bass-botanica-7-melbourne-tickets-1987899744649,false,false
HASTA ABAJO: PERREOLOGIA 2,Culto al reggaeton,2026-05-30 21:30:00,2026-05-31 04:00:00,Inflation Entertainment Complex,Melbourne,Music,high-energy,17.19 AUD - 33.08 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182933419%2F301122468848%2F1%2Foriginal.20260424-024728?auto=format%2Ccompress&q=75&sharp=10&s=533151b3d42599457477c02c56abb64f,https://www.eventbrite.com.au/e/hasta-abajo-perreologia-2-tickets-1988140623123,false,false
Cognitive Challenges in YP with MH Difficulties:  Adapting Practice,"This workshop will show how to identify cognitive difficulties, use screening tools, determine when to refer & adapt clinical practice.",2026-06-02 09:30:00,2026-06-02 16:30:00,PYMHWS - Colonial  Foundation Innovation Centre,Parkville,Health & Wellness,low-key,80.00 AUD - 270.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172109300%2F223921285124%2F1%2Foriginal.20251202-002556?auto=format%2Ccompress&q=75&sharp=10&s=6af949439a88954ef85b1eee91b15829,https://www.eventbrite.com.au/e/cognitive-challenges-in-yp-with-mh-difficulties-adapting-practice-tickets-1977556338242,false,false
Native Flower Bouquet Workshop at Keilor Library,Learn how to create your own bouquet with native flowers Audience: Adults,2026-06-02 18:00:00,2026-06-02 19:30:00,Brimbank Libraries: Keilor Library,Keilor,Home & Lifestyle,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181663240%2F1201188157023%2F1%2Foriginal.20260408-045505?auto=format%2Ccompress&q=75&sharp=10&s=19cbeffee761e43c534c5b958c7ecbec,https://www.eventbrite.com.au/e/native-flower-bouquet-workshop-at-keilor-library-tickets-1986964783154,false,false
Fiesta Negra Melbourne - Salsa Night,"DJs from across Australia unite for a themed night, all dressed in black, where salsa reigns and the dance floor comes alive.",2026-05-23 21:00:00,2026-05-24 03:00:00,The Third Day,North Melbourne,Music,high-energy,20.37 AUD - 30.96 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183086777%2F379368238847%2F1%2Foriginal.20260426-234531?auto=format%2Ccompress&q=75&sharp=10&s=47ef3b9384a1b1c27a5d88ce92751bae,https://www.eventbrite.com.au/e/fiesta-negra-melbourne-salsa-night-tickets-1987977248465,false,false
12 Years of UnitedMake: A Multi-Disciplinary Design Practice,Come celebrate over a decade of creative design magic with UnitedMake’s unique multidisciplinary journey.,2026-05-22 18:30:00,2026-05-22 19:30:00,512 Bridge Rd,Richmond,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178744891%2F174890042254%2F1%2Foriginal.20260301-223935?auto=format%2Ccompress&q=75&sharp=10&s=a3e7ca9c52ad6c695123a30532c87833,https://www.eventbrite.com.au/e/12-years-of-unitedmake-a-multi-disciplinary-design-practice-tickets-1984239842784,false,false
Shaun Micallef in conversation with Michael Williams,Join us in store as Shaun Micallef discusses his new novel 'De'Ath Takes A Holiday' with Michael Williams.,2026-06-04 18:00:00,2026-06-04 19:15:00,Hill of Content Bookshop,Melbourne,Performing & Visual Arts,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183993104%2F100529918707%2F1%2Foriginal.20260507-071204?auto=format%2Ccompress&q=75&sharp=10&s=81a438f3032453763550ef7112e4f974,https://www.eventbrite.com.au/e/shaun-micallef-in-conversation-with-michael-williams-tickets-1988976907472,false,false
Life After I Left: Podcast Party,"Get ready for an unforgettable evening of raw, real, and ridiculously inspiring storytelling.",2026-05-28 18:30:00,2026-05-28 21:30:00,LOEV,Moorabbin,Other,,48.60 AUD - 59.13 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184573759%2F875466504873%2F1%2Foriginal.20260514-073435?auto=format%2Ccompress&q=75&sharp=10&s=3593f9d1810c9e8dc19f3500dd0609f5,https://www.eventbrite.com.au/e/life-after-i-left-podcast-party-tickets-1982055720014,false,false
LOCAL BUSINESS CONNECT | EDITION 6,"Presented by Hyatt Place Melbourne Essendon Fields in partnership with this edition’s spotlight business, CRCYBER.",2026-05-28 16:30:00,2026-05-28 18:00:00,Hyatt Place Melbourne Essendon Fields,Essendon Fields,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180190314%2F2823733617181%2F1%2Foriginal.20260318-232200?auto=format%2Ccompress&q=75&sharp=10&s=fb472cbbc2075c363cfb0c1813cbfdd7,https://www.eventbrite.com.au/e/local-business-connect-edition-6-tickets-1985480820582,false,false
Future Building: Making Buildings Better,Join us for a workshop and public forum.,2026-05-21 16:00:00,2026-05-21 19:30:00,"Monash Art, Design & Architecture",Caulfield East,Family & Education,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180816678%2F252273369117%2F1%2Foriginal.20260327-060805?auto=format%2Ccompress&q=75&sharp=10&s=50c0221101d36bc01c58583e6f07fdd7,https://www.eventbrite.com.au/e/future-building-making-buildings-better-tickets-1986049739233,false,false
Mentor Walks Melbourne: Get guidance and grow your network,An hour walk and talk mentoring session and networking opportunity in Melbourne for women at all stages of their careers.,2026-06-12 07:10:00,2026-06-12 08:30:00,"Under King Edward VII Monument (behind the floral clock), Queen Victoria Gardens",Melbourne,Business & Professional,groups,45.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172138335%2F2643717846241%2F1%2Foriginal.20251202-115932?auto=format%2Ccompress&q=75&sharp=10&s=146c137fa735d88ae7f1cef477697198,https://www.eventbrite.com.au/e/mentor-walks-melbourne-get-guidance-and-grow-your-network-tickets-1976581807394,false,false
Libraries After Dark: Beginner’s crochet,Learn how to crochet at Sunshine Library Audience: Adults,2026-06-11 17:30:00,2026-06-11 19:30:00,Brimbank Libraries: Sunshine Library,Sunshine,Hobbies & Special Interest,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178363687%2F1201188157023%2F1%2Foriginal.20260224-235144?auto=format%2Ccompress&q=75&sharp=10&s=7076db0e6fb93f8bde22195bd9c02123,https://www.eventbrite.com.au/e/libraries-after-dark-beginners-crochet-tickets-1983915886823,false,false
Mindset Mastery Melbourne: The Science of Rewiring Your Brain for Success,"To create a different reality, you must learn how to change your brain.",2026-06-20 08:30:00,2026-06-20 18:00:00,Sofitel Melbourne on Collins,Melbourne,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182369564%2F375402245879%2F1%2Foriginal.20260416-232525?auto=format%2Ccompress&q=75&sharp=10&s=45d7403f2d38a9477d062a02d4573ca7,https://www.eventbrite.com.au/e/mindset-mastery-melbourne-the-science-of-rewiring-your-brain-for-success-tickets-1987656948439,false,false
Mixed  Media Workshop: Texture and Text,"Join us for a hands-on exploration of text and texture with poet, visual artist and Darebin Art Prize finalist Abbra Kotlarczyk.",2026-05-23 12:00:00,2026-05-23 14:30:00,Bundoora Homestead Art Centre,Bundoora,Performing & Visual Arts,low-key,11.90 AUD - 22.49 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182840583%2F141920522895%2F1%2Foriginal.20260423-022433?auto=format%2Ccompress&q=75&sharp=10&s=d4328485c114a2e3b12e6b2e1a6c5c27,https://www.eventbrite.com.au/e/mixed-media-workshop-texture-and-text-tickets-1987173886588,false,false
Lux FX Panel Talk - MDW 2026,"Join us for a panel talk featuring leading practitioners from the fields of architecture, interior, and lighting design",2026-05-20 18:00:00,2026-05-20 19:30:00,Lux FX,Collingwood,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178368093%2F2993248319617%2F1%2Foriginal.20260225-005619?auto=format%2Ccompress&q=75&sharp=10&s=3a94f7dd42bea213b3b782e8adbf343d,https://www.eventbrite.com/e/lux-fx-panel-talk-mdw-2026-tickets-1983917956012,false,false
Reproducible Computing Environments with Docker,This session introduces the Docker container system for running research software portably and reproducibly.,2026-06-09 10:00:00,2026-06-09 14:00:00,21 Bedford St,North Melbourne,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F446557989%2F16741655953%2F1%2Foriginal.20230215-033544?auto=format%2Ccompress&q=75&sharp=10&s=23eb087cf9f3e244a13a980a58d5a98f,https://www.eventbrite.com/e/reproducible-computing-environments-with-docker-tickets-1988368549858,false,false
Basic Computer Skills at Sunshine Library,Learn all about the basics of how to use a computer in our beginner’s computer class. Audience: Adults,2026-05-20 13:00:00,2026-05-20 15:00:00,Brimbank Libraries: Sunshine Library,Sunshine,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F580123869%2F1201188157023%2F1%2Foriginal.20230822-004330?auto=format%2Ccompress&q=75&sharp=10&s=d539d6e7e0f99289373dc71d520d5d4d,https://www.eventbrite.com.au/e/basic-computer-skills-at-sunshine-library-tickets-1983055748125,false,false
"Warehouse3000 10 Years feat. Christian Smith , HMC, Nubreed Journey Man +++",Come and hep us celebrate 10 years of Warehouse3000 !!!!,2026-06-07 15:00:00,2026-06-08 01:00:00,Howler,Brunswick,Music,high-energy,27.70 AUD - 42.32 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184775091%2F317006118507%2F1%2Foriginal.20260517-055801?auto=format%2Ccompress&q=75&sharp=10&s=4bb0b924367d39529b83a2d1c5c9bee9,https://www.eventbrite.com.au/e/warehouse3000-10-years-feat-christian-smith-hmc-nubreed-journey-man-tickets-1983499330893,false,false
June 2026 Networking Breakfast - Darebin Economic Futures Network,"City of Darebin businesses and start-ups, join us and make new connections and catch up with other business owners in June.",2026-06-02 07:30:00,2026-06-02 09:00:00,Nikos Fairfield,Fairfield,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183095695%2F133600804700%2F1%2Foriginal.20260427-040342?auto=format%2Ccompress&q=75&sharp=10&s=bed40e2d930fb6d19c813079e498657d,https://www.eventbrite.com.au/e/june-2026-networking-breakfast-darebin-economic-futures-network-tickets-1988294164369,false,false
Melbourne NDT for Concrete Structures Roadshow,"Non-Destructive Testing of Concrete Structures, for engineers, asset owners and testing pros assessing new and existing infrastructure.",2026-05-28 14:30:00,2026-05-28 19:00:00,Angliss Conference Centre,Melbourne,Business & Professional,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180630256%2F103259990365%2F1%2Foriginal.20260325-033331?auto=format%2Ccompress&q=75&sharp=10&s=5224e18d2bc1bfb864730e8a93e462ca,https://www.eventbrite.com.au/e/melbourne-ndt-for-concrete-structures-roadshow-tickets-1985885464884,false,false
Spilt Wine Book Swap,"Join us for a social evening swapping books, drinking wine, and chatting about your fav reads with other book lovers",2026-05-31 17:00:00,2026-05-31 20:00:00,Bar Elsie,Brunswick East,Hobbies & Special Interest,,30.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182446512%2F252312101358%2F1%2Foriginal.20260417-225636?auto=format%2Ccompress&q=75&sharp=10&s=9ca7a4952b7580e0789a420b30315848,https://www.eventbrite.com.au/e/spilt-wine-book-swap-tickets-1987367645125,false,false
Composing landscapes using linear perspective,Join us at Fitzroy Library for a workshop with Florence Wang — Presented as part of the City of Yarra 2026 Exhibition Program,2026-05-30 11:00:00,2026-05-30 13:00:00,Fitzroy Library,Fitzroy,Performing & Visual Arts,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180197449%2F122619786905%2F1%2Foriginal.20260319-012020?auto=format%2Ccompress&q=75&sharp=10&s=f33ecfc8da1e720228fbc615f153a0fb,https://www.eventbrite.com.au/e/composing-landscapes-using-linear-perspective-tickets-1985485807498,false,false
623 Collins: In Conversation with Fiona Lynch + Plus Studio,"623 Collins will host an intimate forum exploring the intersection of architecture, interiors and placemaking.",2026-05-20 10:00:00,2026-05-20 12:00:00,83 William St,Melbourne,Performing & Visual Arts,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178859132%2F174503856747%2F1%2Foriginal.20260303-011031?auto=format%2Ccompress&q=75&sharp=10&s=59fd27368be476ec297bb77c427f32e7,https://www.eventbrite.com.au/e/623-collins-in-conversation-with-fiona-lynch-plus-studio-tickets-1984345476738,false,false
Clinical Ethics: Perioperative Care (Part 1),"A one day, fully catered, interprofessional short course focused on Clinical Ethics in Perioperative Care",2026-05-29 08:30:00,2026-05-29 17:00:00,Deakin Downtown,Melbourne,Health & Wellness,low-key,440.00 AUD - 770.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172960125%2F1896465013273%2F1%2Foriginal.20251215-034607?auto=format%2Ccompress&q=75&sharp=10&s=5db090de3184ce541702a04847cb35de,https://www.eventbrite.com.au/e/clinical-ethics-perioperative-care-part-1-tickets-1977853124939,false,false
Soirée Rouge | Euro Bar Night 2026,"Welcome to Soirée Rouge - 2026's Euro bar night! This event is a collaboration between GLASS, MFS, MUIC & SLAC.",2026-05-29 19:00:00,2026-05-29 23:30:00,Prahran Hotel,Windsor,Food & Drink,groups,20.99 AUD - 28.50 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1183781321%2F336695908947%2F1%2Foriginal.20260505-035411?auto=format%2Ccompress&q=75&sharp=10&s=4f678c3d11d31786dc1b9d0c4c10f186,https://www.eventbrite.com.au/e/soiree-rouge-euro-bar-night-2026-tickets-1988666556203,false,false
MDW | Hands on with Bioplastics,"Get ready to get your hands on some Bioplastics! We'll share some of our learnings, our mission and why our products are made with seaweed!",2026-05-23 11:00:00,2026-05-23 13:00:00,MPavilion,Melbourne,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181876175%2F2993806625592%2F1%2Foriginal.20260410-151951?auto=format%2Ccompress&q=75&sharp=10&s=191f0da5248543a3f232c5651161ddbe,https://www.eventbrite.com/e/mdw-hands-on-with-bioplastics-tickets-1984239424533,false,false
Kett In The Making: Open Studio,Kett invites you inside its Australian design studio for an exclusive behind-the-scenes exploration of a decade of design thinking.,2026-05-20 17:00:00,2026-05-20 19:00:00,4/62 Fallon St,Brunswick,Performing & Visual Arts,low-key,11.90 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178167395%2F2858765525911%2F1%2Foriginal.20260223-020739?auto=format%2Ccompress&q=75&sharp=10&s=439de8f3f515b7e404a108e9954022c6,https://www.eventbrite.com.au/e/kett-in-the-making-open-studio-tickets-1983739486204,false,false
SUNDAYLICIOUS  MELBOURNE| KINGS BDAY LONG WEEKEND|  JUNE 7 | SUN 9pm-3am,"Sundaylicious hits a brand new venue — Bond Bar. Sexy, stylish and not to be missed.",2026-06-07 21:00:00,2026-06-08 03:00:00,Bond Melbourne,Melbourne,,,0.00 AUD - 43.66 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181171944%2F363534760949%2F1%2Foriginal.20260401-065549?auto=format%2Ccompress&q=75&sharp=10&s=6410b26e99c32a669e084b57d04766b0,https://www.eventbrite.com.au/e/sundaylicious-melbourne-kings-bday-long-weekend-june-7-sun-9pm-3am-tickets-1986405843350,false,false
Developing Interdisciplinary Research (Two Day EMCR intensive),Interdisciplinary research is a priority for many in the research sector - are you positioned well for it?,2026-06-15 09:30:00,2026-06-16 16:30:00,Deakin Downtown,Melbourne,Science & Technology,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1030434853%2F201416060643%2F1%2Foriginal.20250514-063155?auto=format%2Ccompress&q=75&sharp=10&s=c4446f1ef377bca3388da161fc4f69e1,https://www.eventbrite.com.au/e/developing-interdisciplinary-research-two-day-emcr-intensive-tickets-1986486014143,false,false
2027 Austin Health All Streams Graduate Nurse Program Information Session,Join us at Austin Hospital to discuss our Graduate Nurse Programs and joining our team.,2026-06-04 17:00:00,2026-06-04 19:00:00,Austin Hospital John Lindell Lecture Theatre,Heidelberg,Health & Wellness,free-cheap,Free,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1182106179%2F385147881109%2F1%2Foriginal.20260414-051457?auto=format%2Ccompress&q=75&sharp=10&s=1b2dbfda0bcea5e5e4c6789c95513cd6,https://www.eventbrite.com.au/e/2027-austin-health-all-streams-graduate-nurse-program-information-session-tickets-1987020791677,false,false
Instaworthy Blondes 2.0 MELBOURNE featuring Ozge Durmus & Christina Coope,Get ready to keep driving the #instaworthyblondemuk movement and take your blonding game to the next level.,2026-05-25 09:30:00,2026-05-25 16:30:00,muk Haircare,Keilor Park,Fashion & Beauty,groups,225.00 AUD,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174272787%2F1399232369803%2F1%2Foriginal.20260108-020017?auto=format%2Ccompress&q=75&sharp=10&s=c4f9753782768f22c0ee0ee868cc6e05,https://www.eventbrite.com.au/e/instaworthy-blondes-20-melbourne-featuring-ozge-durmus-christina-coope-tickets-1975358266751,false,false
